;CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;DT_INI_EXERC;COLUNA_DF;con_ind;tipo_dem;base
608;33.376.989/0001-91;2018-12-31;1;IRB - BRASIL RESSEGUROS S.A.;24180;DFP;80516.0;2019-02-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=80516;;;;;;;;;;;;;;dfp
609;33.376.989/0001-91;2018-12-31;2;IRB - BRASIL RESSEGUROS S.A.;24180;DFP;81058.0;2019-03-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=81058;;;;;;;;;;;;;;dfp
610;33.376.989/0001-91;2018-12-31;3;IRB - BRASIL RESSEGUROS S.A.;24180;DFP;81059.0;2019-03-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=81059;;;;;;;;;;;;;;dfp
611;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;DFP;81090.0;2019-03-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=81090;;;;;;;;;;;;;;dfp
26137;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1;Ativo Total;15940434.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26139;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01;Ativo Circulante;10535080.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26141;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.01;Caixa e Equivalentes de Caixa;43131.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26143;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.01.01;Caixa e bancos;43131.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26145;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.02;Aplicações Financeiras;2595474.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26147;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;2595474.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26149;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.02.01.01;Títulos para Negociação;2371374.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26151;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.02.01.02;Títulos Designados a Valor Justo;224100.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26153;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26155;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.02.02.01;Títulos Mantidos até o Vencimento;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26157;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26159;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03;Créditos das Operações;4652082.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26161;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.01;Seguros e Resseguros;4652082.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26163;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.01.01;Operações com Seguradoras;3305829.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26165;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.01.02;Operações com Resseguradoras;1289585.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26167;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.01.03;Outros Créditos Operacionais;56668.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26169;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.01.04;Provisão para riscos de créditos;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26171;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.02;Previdência Complementar;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26173;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.02.01;Títulos e Créditos a Receber;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26175;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.02.02;Outros Créditos;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26177;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.03;Capitalização;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26179;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.03.04;Outras Operações;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26181;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.04;Títulos e Créditos a Receber;111703.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26183;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.04.01;Títulos e Créditos a Receber;40116.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26185;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.04.02;Créditos Tributários e Previdênciários;71587.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26187;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.05;Outros Valores e Bens;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26189;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.06;Empréstimos e Depósitos Compulsórios;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26191;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.07;Despesas Antecipadas;11886.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26193;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.07.01;Despesas antecipadas;11886.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26195;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.08;Despesas de Comercialização Diferidas;65197.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26197;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.08.04;Custos de Aquisição Diferidos - Seguros;65197.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26199;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.09;Outros Ativos Circulantes;3055607.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26201;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.09.01;Ativos Não Correntes a Venda;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26203;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.09.01.01;Prêmios - Retrocessão;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26205;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.09.01.02;Sinistros - Retrocessão;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26207;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.09.01.03;Outras Provisões;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26209;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.09.02;Ativos de Operações Descontinuadas;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26211;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.09.03;Outros;3055607.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26213;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.01.09.03.01;Ativos de Resseguro e Retrocessão - Provisões Técnicas;3055607.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26215;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02;Ativo Não Circulante;5405354.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26217;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01;Ativo Realizável a Longo Prazo;4715167.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26219;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;3366388.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26221;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26223;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
